ALBUM_ID,ALBUM_NAME
7mzrIsaAjnXihW3InKjlC3,Taylor Swift
2dqn5yOQWdyGwOpOIi9O4x,Fearless
5MfAxS5zz8MlfROjGQVXhy,Speak Now
4jTYApZPMapg56gRycOn0D,Red
2QJmrSgbdM35R67eoGQo4j,1989
4R3hKmiJWEjRe6l03DoV9t,1989
34OkZVpuzBa9y40DCy0LPR,1989
6DEjYFkNZh67HP7R9PSZvv,Reputation
1NAmidJlEaVgA3MpcPFYGq,Lover
2fenSS68JI1h4Fo296JfGr,Folklore
1pzvBxYgT6OVwJLtHkrdQK,Folklore
0PZ7lAru5FDFHuirTkWe9Z,Folklore
2Xoteh7uEpea4TohMxjtaq,Evermore
6AORtDjduMM3bupSWzbTSG,Evermore
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version)
6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version)
151w1FgRZfnKZA9FEcg9Z3,Midnights
1fnJ7k0bllNfL1kVdNVW1A,Midnights
3lS1y25WAhcqJDATJK70Mq,Midnights
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version)
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version)
1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version)